ID,Longitude,Latitude,Mmodesta,barrier,Compet,Bbsuit,BbPA,Bfsuit,BfPA,Brsuit,BrPA,BbBfBrsuit,BbBfBrPA,BbBfsuit,BbBfPA,BbBrsuit,BbBrPA,BfBrsuit,BfBrPA
133,-97.0043889,19.0043889,0,1,0,0.0290164,0,0.0155313,0,0.000366277,0,0.0290164,0,0.0290164,0,0.0290164,0,0.0155313,0
134,-97.0021111,19.5001667,0,1,0,0.0279362,0,0.0170446,0,0.000902713,0,0.0279362,0,0.0279362,0,0.0279362,0,0.0170446,0
135,-58.3132417,6.5623889,0,0,0,0.565349996,1,0.578813016,1,0.346453011,1,0.578813016,1,0.578813016,1,0.565349996,1,0.578813016,1
136,-58.2196139,6.4980778,0,0,0,0.638006985,1,0.822161973,1,0.423628002,1,0.822161973,1,0.822161973,1,0.638006985,1,0.822161973,1
137,-92.7167,15.6333,1,1,0,0.083002597,0,0.0369193,0,0.000123284,0,0.083002597,0,0.083002597,0,0.083002597,0,0.0369193,0
138,-79.7147,9.1272,1,1,0,0.247357994,0,0.210903004,0,0.032792501,0,0.247357994,0,0.247357994,0,0.247357994,0,0.210903004,0
139,-77.5061111,5.5736111,1,1,0,0.426286012,0,0.021797599,0,0.594760001,1,0.594760001,1,0.426286012,0,0.594760001,1,0.594760001,1
141,-88.2825,15.5197,1,1,0,0.115092002,0,0.121100001,0,0.072591297,0,0.121100001,0,0.121100001,0,0.115092002,0,0.121100001,0
142,-88.2142,15.5169,1,1,0,0.117963001,0,0.123646997,0,0.074097201,0,0.123646997,0,0.123646997,0,0.117963001,0,0.123646997,0
143,-88.80436,18.426725,0,1,0,0.060352799,0,0.129932001,0,0.0102156,0,0.129932001,0,0.129932001,0,0.060352799,0,0.129932001,0
144,-81.12,8.52,1,1,0,0.335227996,0,0.089580797,0,0.0135701,0,0.335227996,0,0.335227996,0,0.335227996,0,0.089580797,0
145,-81.1394,8.5287,1,1,0,0.378764987,0,0.143004999,0,0.033197898,0,0.378764987,0,0.378764987,0,0.378764987,0,0.143004999,0
146,-81.1179,8.5168,1,1,0,0.335227996,0,0.089580797,0,0.0135701,0,0.335227996,0,0.335227996,0,0.335227996,0,0.089580797,0
147,-90.219,15.2145,1,1,0,0.178143993,0,0.144649997,0,0.026810899,0,0.178143993,0,0.178143993,0,0.178143993,0,0.144649997,0
148,-77.4167,3.25,1,1,0,0.389782012,0,0.00312621,0,0.658055007,1,0.658055007,1,0.389782012,0,0.658055007,1,0.658055007,1
149,-96.6247,17.1406,1,1,0,0.082667097,0,0.172055006,0,0.000148276,0,0.172055006,0,0.172055006,0,0.082667097,0,0.172055006,0
150,-95.05,18.48,1,1,0,0.024654999,0,0.00382792,0,0.00246806,0,0.024654999,0,0.024654999,0,0.024654999,0,0.00382792,0
151,-88.98599167,16.7332,0,1,0,0.102187999,0,0.132326007,0,0.0533733,0,0.132326007,0,0.132326007,0,0.102187999,0,0.132326007,0
152,-73.43333333,5.783333333,0,1,0,0.601444006,1,0.567035973,1,0.205788001,0,0.601444006,1,0.601444006,1,0.601444006,1,0.567035973,1
153,-75.45788889,5.076861111,0,1,1,0.602730989,1,0.540307999,1,0.356173992,1,0.602730989,1,0.602730989,1,0.602730989,1,0.540307999,1
154,-75.0666667,6.9,1,1,0,0.482762009,0,0.145621002,0,0.269241989,1,0.482762009,1,0.482762009,0,0.482762009,1,0.269241989,1
